meaning,translation,character,Lesson number,Frame number,Stroke number,Grade number,JLPT,Constituents,Example sentence 1,Example sentence 2,On-Yomi,Kun-Yomi,Example words
concerning,"""concerning",就,53,2121,12,6,1,"concerning, capital, tall, top hat, mouth, small, little, understandably, chihuahua with one human leg",Capital . . . chihuahua with a human leg in place of one of its paws.,In the capital they have been having hearings concerning bioethics and bioengineering they call as their first witness a chihuahua with one human leg.,シュウ、ジュ,つ.く、つ.ける,"就任 (しゅうにん), 就寝 (しゅうしん), 去就 (きょしゅう), 就く (つ.く), 就ける (つ.ける)"""
sociable,"""sociable",懇,53,2123,17,,1,"sociable, skunk, silver, heart",Skunk . . . silver . . . heart.,"The skunk here is Pepe LePew of Looney Tunes fame. He´s a very sociable skunk, as far as skunks go, but instead of having a """"heart of gold"""" he has a heart of silver (since he always finishes second in the game of love).",コン,ねんご.ろ,"懇ろ (ねんご.ろ)"""
groundbreaking,"""groundbreaking",墾,53,2124,16,,1,"groundbreaking, skunk, silver, soil, dirt, ground",The groundbreaking referred to here is not for the erection of new buildings but for the opening of farmlands. The elements: skunk . . . silver . . . soil.,"It was the groundbreaking of the new farm, but there was an uninvited guest to the ceremony. It was a famous skunk, the one with the familiar silver stripe. The feet of the crowd rushing from the ceremony site churned up the soil very nicely. The ceremony was ruined but the groundbreaking was a great success.",コン,,
excuse,"""excuse",免,53,2126,8,,1,"excuse, village stocks, rabbit, bound up, human legs","This character is used for excusing oneself for a failure of courtesy. The elements are: bound up . . . sun (oddly enough, laid on its side) . . . human legs.* For the primitive meaning, we shall refer to this character as a rabbit, for which the old form of the character is 兔.","Obviously this is the rabbit from Alice, excusing himself and rushing away on his legs, as he has a binding day schedule. This is at the same time an image, with bound=ears, day=head and legs are just legs. The image is used in rabbit (#2093).",メン,まぬか.れる、まぬが.れる,"免れる (まぬか.れる)"""
elude,"""elude",逸,53,2127,11,,1,"deviate, elude, village stocks, rabbit, bound up, human legs, road",Rabbit . . . road.,"Word play to differentiate elude/evade: elude ~= e-lewd. Alice is following Mr. Rabbit on the road. Mr. Rabbit flashes her in a lewd way and disappears, completely eluding her.",イツ,,
nightfall,"""nightfall",晩,53,2128,12,6,3,"nightfall, sun, day, village stocks, rabbit, bound up, human legs",Sun . . . rabbit.,At nightfall the sun excuses itself and goes to sleep.,バン,,
exertion,"""exertion",勉,53,2129,10,3,4,"exertion, village stocks, rabbit, bound up, human legs, power, muscle, arnold",Rabbit . . . muscle. Notice how the last stroke of rabbit is stretched out to underlie the element for muscle.,"When RABBITS hop around, they EXERT tremendous force using their MUSCULAR legs.",ベン,,
elephant,"""elephant",象,53,2130,12,4,2,"elephant, colour, color, bound up, sow, pig","A rabbit's head with the body of a sow represents an elephant. Little wonder that the kanji also means """"phenomenon""""!","An elephant has huge ears, like a rabbit, and a big, fat body, like a sow.",ショウ、ゾウ,かたど.る,"象徴 (しょうちょう), 対象 (たいしょう), 現象 (げんしょう)"""
statue,"""statue",像,53,2131,14,5,2,"statue, person, elephant, colour, color, bound up, sow, pig",Person . . . elephant.,Statues of people are made the same size as statues of elephants.,ゾウ,,
horse,"""horse",馬,54,2132,10,2,3,"horse, team of horses","Let the extra vertical stroke in the mane combine with the first vertical stroke to give an image of the horse's long neck. The only odd thing is the tail feathers at the end, but that should present a good image to remember the character by. The fact that the last stroke of mane and the first of tail feathers coincide should no longer surprise you.* As a primitive, this kanji will mean a team of horses as distinct from the single horse whose primitive we met earlier.","Turkey with the drops at the top removed and tail feathers added (this matches stroke order and there are the tail feathers already, why not have the whole bird). If you take the two drops of 隹 as wings, then horses are like turkeys, but have no wings and have more prominent tail """"feathers"""". Both are actually supposed to be pictographs, though.",バ,うま、うま-、ま,"馬 (うま)"""
pony,"""pony",駒,54,2133,15,,1,"pony, team of horses, phrase, bound up, mouth","Team of horses . . . phrase. In American slang, a pony is an underground translation of a classical text, which students who cannot manage the difficult phrases of the original language consult and pass on from one generation to the next.",The new My Little Ponies show is all about magic horses who utter cute catch phrases.,ク,こま,"駒 (こま)"""
verification,"""verification",験,54,2134,18,4,4,"verification, team of horses, awl, fit, meeting, umbrella, mouth, person",Team of horses . . . awl.,We just verification that there are indeed no soldiers in the belly of this trojan horse. We´re just gonna stab it in the belly with this awl to check.,ケン、ゲン,あかし、しるし、ため.す、ためし,"試験 (しけん), 経験 (けいけん), 実験 (じっけん)"""
equestrian,"""equestrian",騎,54,2135,18,,1,"equestrian, team of horses, strange, large, St. Bernard, street, nail, spike, mouth",Team of horses . . . strange.,Equestrian events are where you get horses to do strange things.,キ,,
parking,"""parking",駐,54,2136,15,,2,"stop-over, parking, team of horses, candlestick, lord, drop, king, jewel, ball",Team of horses . . . candlestick.,"In the olden days you had to park your horse next to a candlestick, a primitive parking meter that you start by lighting a fire and tracks the time by burning down.",チュウ,,
drive,"""drive",駆,54,2137,14,,1,"drive, team of horses, ward, box, sheaf",Team of horses . . . ward.,You have to be craaazzzzyy to drive a buggy led by a team of horses through a ward of Tokyo!,ク,か.ける、か.る,"駆ける (か.ける), 駆る (か.る)"""
station,"""station",駅,54,2138,14,3,4,"station, team of horses, shaku-hachi, flag, stick",Team of horses . . . shakuhachi.,"Anyone living in Japan knows that train stations play little melodies when the train is about to arrive. In Ye Olden Days, when horses and carriages were used for transport, the carriage driver would play a little melody on his shakuhachi to let the passengers know the carriage was arriving at the next station.",エキ,,
boisterous,"""boisterous",騒,54,2139,18,,1,"boisterous, team of horses, crotch, insect",Team of horses . . . crotch . . . insect.,"Or more precisely: the team of horses are getting boisterous because one of them got bitten in the crotch by a horse fly. The kanji also means to roar, make up noise, to kick up a fuss and to make merry. Perhaps it is exactly the etymology behind this kanji.",ソウ,さわ.ぐ、うれい、さわ.がしい,"騒ぐ (さわ.ぐ)"""
burdensome,"""burdensome",駄,54,2140,14,,1,"burdensome, team of horses, plump, large, St. Bernard, drop",Team of horses . . . plump.,"If a passenger is too plump and heavy, its too burdensome for the horse.",ダ、タ,,
wonder,"""wonder",驚,54,2141,22,,1,"wonder, awe, flowers, phrase, bound up, mouth, taskmaster, team of horses",Awe . . . team of horses.,"You stand in AWE at the 8th WONDER of the world, a huge TROJAN HORSE.",キョウ,おどろ.く、おどろ.かす,"驚かす (おどろ.かす), 驚く (おどろ.く)"""
fervent,"""fervent",篤,54,2142,16,,1,"fervent, bamboo, team of horses",Bamboo . . . team of horses.,"A fervent horse doesnt need to be whipped with a bamboo stick during a race, it will go fast by itself.",トク,,
inflation,"""inflation",騰,54,2144,20,,1,"inflation, edam, moon, month, flesh, part of the body, quarter, team of horses",Meat . . . quarter . . . team of horses.,"Flesh+quarter=McDonald´s quarter pounder. Due to inflation, McDonald´s has had to start making quarter pounders out of horse meat.",トウ,,
tiger,"""tiger",虎,54,2145,8,,1,"tiger, magic wand, augury, cliff, hook, diced, seven, human legs","The kanji in this frame recalls the famous Bengali fable about the group of magicians (the magic wand) who decided to make a tiger. It seems that each of them knew how to make one part of the beast, so they pooled their talents and brought all the pieces (diced into pieces) together, at which point the fabricated tiger promptly ate its makers up (the bodiless human legs). Whatever the parable's significance for modern civilization and its arsenals, it should help with this kanji. Oh yes, we should not forget that cliff-like element. Think of it as an abbreviation of the primitive for zoo (the first and fourth strokes, actually), in order to fit the tiger somewhere into the picture. In fact, the abbreviation is perfectly logical, since the bottom elements usurp the room for the rest of the primitive for zoo.* As a primitive element itself, the human legs are also swallowed up, but the meaning of tiger is kept, and the whole serves as a roof for what comes beneath 虍, giving the tiger something else to eat.","Magic wand + first two strokes of pelt (皮) + diced + human legs. A wizard who turns people he doesn´t like into newts with his magic wand goes for variety - he has always wanted a tiger pelt - but things go awry when the tiger promptly dices and eats him, leaving only a pair of legs. (a fitting end for a wicked wizard).",コ,とら,"虎 (とら)"""
captive,"""captive",虜,54,2146,13,,1,"captive, tiger, male, rice field, brains, power, muscle, arnold",Tiger . . . man.,Captive men are thrown to the tigers. I think you can imagine something else is done to captive women...,リョ、ロ,,
skin,"""skin",膚,54,2147,15,,2,"skin, tiger, stomach, rice field, brains, moon, month, flesh, part of the body",Tiger . . . stomach.,"Ending up in a tiger´s stomach is not good for your skin, as it´s full of stomach acids.",フ,,
void,"""void",虚,54,2148,11,,1,"void, tiger, row",Tigers . . . row.,"In Japanese folklore there is no hell, but there is the void. There, a row of tigers waits in the blackness to devour those souls who have failed in their spiritual life.",キョ、コ,むな.しい、うつ.ろ,"虚無 (きょむ), 虚偽 (きょぎ), 空虚 (くうきょ)"""
frolic,"""frolic",戯,54,2149,15,,1,"frolic, void, tiger, row, fiesta",Void . . . fiesta.,This is a story about the end of the universe. The universe is turning into a featureless void. There´s nothing we can do about it except for throw a fiesta and frolic a little bit before it´s all over.,ギ、ゲ,たわむ.れる、ざ.れる、じゃ.れる,"戯れる (たわむ.れる)"""
uneasiness,"""uneasiness",虞,54,2150,13,,1,"uneasiness, tiger, give, mouth, chair, tool",Tiger . . . give.,I feel a sense of uneasiness about giving this HUGE tiger a steak.,グ,おそれ、おもんぱか.る、はか.る、うれ.える、あざむ.く、あやま.る、のぞ.む、たの.しむ,"虞 (おそれ)"""
prudence,"""prudence",慮,54,2151,15,,1,"prudence, tiger, think, rice field, brains, heart",Tiger . . . think.,"Real meaning: """"to ponder"""". You have to think with prudence (ponder carefully) about approaching a tiger, as is evident from 虎.",リョ,,
drama,"""drama",劇,54,2152,15,6,2,"drama, tiger, sow, pig, sword, sabre, saber",Tiger . . . sow . . . saber.,There would be a lot of drama if a tiger tried to eat a sow but then the sow attacked it with a saber.,ゲキ,,
